"Volume","File","Status","SizeMB","Url"
"00_All_PDFs_Unsorted_Page_Changed","28 - Chapter 9 ( Area Traffic Control).pdf","OK","0,6","https://www.sartsma.co.za/_files/ugd/04fece_afdfba63bc684368bd34b346a07ffa99.pdf"
"00_All_PDFs_Unsorted_Page_Changed","29 - Chapter 10 ( Vehicle Priority).pdf","OK","0,18","https://www.sartsma.co.za/_files/ugd/04fece_20abf874c351459a98f788fefb874382.pdf"
"00_All_PDFs_Unsorted_Page_Changed","30 - hapter 11 (Individual Vehicle Control Signals).pdf","OK","0,22","https://www.sartsma.co.za/_files/ugd/04fece_643210f9bb1d49d49cfb42aa1a2939dd.pdf"
"00_All_PDFs_Unsorted_Page_Changed","31 - Chapter 12 ( Signals at Roadworks).pdf","OK","0,21","https://www.sartsma.co.za/_files/ugd/04fece_dfad6b72efd04e1b9286cf3210fd8bb4.pdf"
"00_All_PDFs_Unsorted_Page_Changed","32 - Chapter 13 ( Lane Direction Control Signals).pdf","OK","0,37","https://www.sartsma.co.za/_files/ugd/04fece_682428b58c9b4625a897347f8cf3c21d.pdf"
"00_All_PDFs_Unsorted_Page_Changed","33 - Chapter 14 ( Railway Crossing Signals).pdf","OK","0,34","https://www.sartsma.co.za/_files/ugd/04fece_b49f63359339427da6a1a1dd7520fdb0.pdf"
"00_All_PDFs_Unsorted_Page_Changed","34 - Chapter 15 ( Hand and Other Signals).pdf","OK","0,57","https://www.sartsma.co.za/_files/ugd/04fece_3e6eb50b34fe44b2928048138662510c.pdf"
"00_All_PDFs_Unsorted_Page_Changed","35 - Chapter 16 ( Light Signals and Posts).pdf","OK","0,41","https://www.sartsma.co.za/_files/ugd/04fece_ef8ee578221a45a3902a61250eea408f.pdf"
"00_All_PDFs_Unsorted_Page_Changed","36 - Chapter 17 ( Facilities for Disabled Users).pdf","OK","0,19","https://www.sartsma.co.za/_files/ugd/04fece_7f6084d067744131bb2e4d30768966c7.pdf"
"00_All_PDFs_Unsorted_Page_Changed","37 - Chapter 18 ( Traffic Signal Controllers).pdf","OK","0,29","https://www.sartsma.co.za/_files/ugd/04fece_425742f1484e40719f7b926f40bc32a1.pdf"
"00_All_PDFs_Unsorted_Page_Changed","38 - Chapter 19 ( Central Control System).pdf","OK","0,27","https://www.sartsma.co.za/_files/ugd/04fece_1959ba2c0e464bb7a2750a100dadbc2c.pdf"
